Nama,Tanggal,comment,Label
Raehul Janah,23 Juni 2021,Aku sangat suka tiktok,Positif
Suchrisno Ajah,8 Agustus 2021,Kecewa sama developer tiktok bikin system tidak bisa bedain akun real atau palsu Yang real susah masukin kode lebih baik gedein koin kehadiran sama koin nonton aja jangan revisi kalo enggak bisa bedain mah,Negatif
Vicky Adi,5 Juni 2021,"Kenapa saya tidak bisa memasukan kode undangan, padahal saya kan pengguna baru, pertama keluhan adalah tidak lolos control penipuan, keluhan kedua kesalahan jaringan harap coba lagi. Itu saja keluhan. Mohon diperbaiki dong pihak tiktok",Negatif
Maharani Aulia Rahma,15 Juli 2021,Kok enggak ada tanda koin ya? Pertama tama ada lama lama hilang gimana sih padahal sudah ada koin😭,Negatif
MiladNairoukh Milla,25 Mei 2021,"Aku beri bintang 2 aja dulu, heran aplikasi pu ku , kok filter x , bak yang gak bisa dipake sih. Tolong jawab ????",Negatif
Wulan Sari,20 Juni 2021,Assalamualaikum.. Saya ingin coba .pakai aplikasi tiktok .ingin bisa ..Tapi bagus ya🙏🙏,Negatif
Ferby Ansyah,25 Juli 2021,Dark Mode jadi ga ada,Negatif
Afef Pudin,14 Juli 2021,Tiktok bisa bertukar informasi sesama kawan kita,Negatif
Tina Oman,8 Juli 2021,maaf dulu yah aku kasih dua bintang karna tiktok agak lemot,Negatif
UPE GAMING,14 Juni 2021,Aplikasi kadang ilang kadang ada icon misi dan coin jadi malesin,Negatif
nur aisah aisah,21 Juni 2021,Nyobain dulu kalo sukses bintang lima makasih,Negatif
Saepudin 2020,27 Mei 2021,Saya kasih bintang 2 dulu ya,Negatif
Toni Iskandar,24 Juni 2021,Jaringan bagus tapi memuat terus jadi hapus aja,Negatif
Yeni Nuraini,15 Juni 2021,Tidak ada koin,Negatif
Raghez Channel,27 Mei 2021,Kenapa tiktok saya enggak bisa dapat poin saldo. / gak ada logo / notifikasi undangan,Negatif
agustina ina,14 Mei 2021,"Kok sekarang tiktok ku kok error. pemutaran sedikit, padahal sudah 4jam.",Negatif
botol cah koplak,23 Maret 2021,Kenapa setiap aku upload ketiktok GaK bisa alias keluar terus gitu,Negatif
Mahedy Chanel,2 Maret 2021,Poko mantap buat menghilangkan jenuh,Positif
Jafar Lipu,23 Maret 2021,Aku kasih bintang 2 karna tiktok ku macet pada halo hpku hp oppo,Negatif
Kanjeng Mami,5 Juni 2021,Hai Semua Mau Ta Kalo Benar Yah Aplikasi Ini Bagus ????????,Negatif
Agus Stwn,19 Juli 2021,Untuk seukuran aplikasi video aplikasi ini terlalu bak memakan penyimpanan,Negatif
mramdan ramdan,30 Juni 2021,Kok saya gak nerima kode undangan . Padahal saya pengguna baru di tiktok. Aneh,Negatif
neni viyath,6 Juli 2021,Payah Pendapatan koin Makin Lama mengunakan tiktok makin sedikit pendapatan.. Ga nonton video ga dapat coin.. Harus ada Chekin share atau gimana gitu..,Negatif
Hartati Tuta,26 Juni 2021,"Hi nama aku,, Hi R , mau coba dulu iya kasih bintang dua aja nanti kalau bagus aku tambah,",Negatif
Rini Lisnawati,5 Agustus 2021,Aku lihat ada yang tiktok lite dan tiktok biasa nah kok ada dua tiktok ini palsu,Negatif
Kang Es,6 Maret 2021,Kenapa dengan tiktok saya. Padahal saya sudah hapus tapi diplaystore mendownload 1% tapi enggak jalan jalan downloadtan 👎,Negatif
Beni pratama setiawan,2 April 2020,"Tiktok yang sekarang.bukan tiktok yang dulu, dulu isi kreatifitas, sekarang isi banci, anak alay, anak gaya 70an, ibu2 yang caci maki tetangga, cewek yang burik terus pakai tepung. dimuka, kembalikan tiktok kami yang dulu, bukan tiktok dengan isi sampah seperti ini, sebaik tiktok. blokir.mereka",Negatif
Hi Adnan,29 Mei 2021,Kenapa saya ga bisa narik uang sih?solusi dong min,Negatif
Eldy Eldy,10 Juli 2021,Download 65 mb selesai download jadi 400mb kok gitu sih,Negatif
amelia fren,9 Desember 2020,"konten konten sampah,cewek mulus sexs*,DLL masuk ke beranda, tolong blokir orang orang yang membuat konten berikut, JIKA sudah DIPEBAIKI SAYA AKAN KASIH BIntang lima",Negatif
Pengguna Google,12 Oktober 2018,"Dengan hormat kepada pihak Musical.ly saya kecewa dengan ada pembaruan ini, mungkin bukan saya aja yang kecewa dengan ada pembaruan ini, kami mohon maaf sekali,apakah musical.ly bisa dikembalikan? maaf bila ada salah"" kata😊",Negatif
Zero Buana,25 Juni 2021,Ada event ngebug perbaiki lah Sangat sangat tidak man,Negatif
Aidah Kamila,20 Desember 2019,Kenapa saya tidak bisa balik lagi keakun yang lama? Tolong diperbaiki dong.. Saya sudah capek2 berjuang sampe beribu2 Tapi kenapa tiba2 saya tidak bisa balik lagi keakun yang lama?,Negatif
Septi Rizkianti,15 Juli 2021,Seru banget sumpah nonton,Positif
burt Said,3 Maret 2021,kenapa lama sekali didownload padahal sil saya bagus2 saja ... maaf saya kasih bintang 2,Negatif
Iis Tiara,24 Februari 2021,so. bad. gak. bisa gak ada video apa. bikin kesel aja,Negatif
Nandashaf,15 Juni 2021,Untuk dibuat transisi jelek banget enggak seperti tahun2 2018'an😠 suka lag,Negatif
Lisaa,3 Januari 2021,Eh please tiktok tolong jelasin dong kenapa aku gak bisa ya buka tiktok setiap habis download terus aku buka kok gak bisa ya ? Tolong jelaskan dong tiktok padahal hpku gak kenapa kenapa 😭😭,Negatif
Jcjf Jdu,2 Agustus 2021,Aku kasih bintang dua dulu mau coba kalau bagus ditambahi,Negatif
Axyra_ 16.4,9 Mei 2021,Tiktok yang asli itu mana seh saya bingung njir tiktok yang asli itu yang mana yang ini atau yang satu lagi,Negatif
Tyje Perk,1 September 2020,Ada masalah apa ini. Sumpah aku bingung.. aku sudah Upload Video 24 jam tapi gak ada yang Nonton. Gak ada yang Like yaa...,Negatif
Tiktok GBDPPMNGMPYTG,7 Agustus 2021,Keren banget program aplikasi tiktok makin banget bagus sekali. jadi makin menyukai saya. selain dapat uang makin bak dan terhibur jadi enjoy banget dengan aplikasi ini,Positif
kode tiktok GBDPPMNGMPYTG,2 Agustus 2021,Bagus aplikasi sangat menyukai jadi saya,Positif
Hello D⓺⓸⓺⓷⓵⓽⓸,7 Agustus 2021,Aplikasi yang sangat pasti pasti dapat hadiah uang cukup nonton video aja 🤣😂😂🤣😍😍😍😍🥰,Positif
Baha Rudin,24 Juli 2021,Bagus apa lihat2 sudah ku bilang bagus,Positif
Lane Smith,2 Agustus 2021,Aplikasi terbaik yang pernah ada memang benar terbukti bisa menghasilkan uang mantap top😎😀,Positif
Aisha N Putri,5 Agustus 2021,BAgUs 🤬 😡 Apa lihat orang dibilang bagus💔,Positif
Rika wijaya,6 Agustus 2021,Mau ta kenapa point nonton video jadi hilang terus saya sudah berhasil 1 undang teman yang download tapi kayak gak nambah reward / uang / point' apapun ...apa yang salah ya ?,Positif
Raisya Aulia Fitri,6 Agustus 2021,"Umm hai, kenapa ya sudah 3 hari ini lag? Video tidak bisa diputar padahal jaringan internet saya baik baik saja, tolong di perbaiki ya^^",Positif
Sans01,7 Agustus 2021,SEMOGA POSTINGANKU FYP TERIMAKASIH,Positif
Tiktok GBDPPMNGMPYTG,31 Juli 2021,Tidak pernah menyesal download aplikasi ini yang pengguna bak sekali.membuktikan bahwa aplikasi ini bagus karna menghibur dan bermanfaat sekali untuk mendapatkan bonus uang. aplikasi yang sangat cocok buat semua kalangan.,Positif
Indra Moza,3 Agustus 2021,"Maaf ya tiktok kalau mengadakan event jangan di persulit lah, perekonomian semakin sepi jangan dipersulit lagi, kode undangan tidak ada yang bisa lolos, dan saya sangat kecewa, tolong diperbaiki lagi terimakasih",Negatif
Saikurusmidi midi,20 Juli 2021,"Koin aku gak nambah"" sudah sering nonton video tapi gak nambah"" minta pendapat dong???????????????????????????????????????????????????????????????????????????????????????????????????????????????",Positif
andra yani,6 Agustus 2021,"Yang disayangkan bak pengguna wanita2 yang tidak medari video2 mereka dijoin dengan para laki2 di video mereka sendiri dengan emoji2 cinta kasih yang tak diketahui pihak wanita tersebut, yang bisa menjatuhkan martabat para wanita tersebut di publik",Positif
Putri Aulia,6 Agustus 2021,"Tadi sih bagus tidak ada masalah, tapi lama- kelamaan kok pas post video, video jadi burem gitu padahal video asli tidak burem . jujur kecewa banget apa harus pu iPhone dlu biar tidak burem😌",Negatif
GUSTIAN,2 Agustus 2021,"Saya mau mintak tolong min, kenapa hampir 20 harian code tiktok saya selalu gagal undang temen maksud saya setiap pengguna baru tiktok yang memasukkan code tiktok saya selalu gagal, padahal saya tidak curang min & sudah download lewat link saya,, tolong bantu secepat , ini code tiktok saya min👉 GBC4CACBMPYTK",Positif
Aldhika Reza33,4 Agustus 2021,Aplikasi bagus banget buruan downlodd.. kenapa lihat ke bawah kan aku sudah bilang aplikasi bagus banget .😁😁,Positif
Qilah々 ·,7 Agustus 2021,"Ini kenapa gak bisa diputar video ya? lag lag gitu loh, padahal jaringan  bagus banget 🙂 , tolong banget untuk diperbaiki ya🙏",Positif
Vitha Rosalie,4 Agustus 2021,"Halo, kepada pihak Tiktok. Saya mau ta, kenapa ya.. saat saya buka Tiktok, terus saya mau duetin ke video orang, gak bisa.. tertulis kalo saya sedang buka aplikasi yang menggunakan video, padahal saya ha membuka tiktok. Tolong dibantu ya. - Multi.328",Positif
bandar ripuh,2 Agustus 2021,Mengajak orang buat download itu susah. Terus pas dapat orang pu handphone baru diundang terus download habis itu masukin kode error tidak lolos kontrol penipuan. Padahal akun baru itu bonus nonton gede. Mau ta parameter kontrol penipuan apa?,Positif
Rama dhani,15 Juli 2021,"Tolong pihak tiktok permudahkan akun tiktok saya untuk menarik saldo, sudah beberapa Minggu ini selalu gagal, dan tak ada tanggapan dari kalian mohon kerjasama terimakasih.",Positif
KS JUnIoR,31 Juli 2021,"Sangat mengisi di waktu yang kosong. Menemukan sebuah inisiatif dan kreatif buat pengguna tiktok. Dan satu harapan, agar seluruh penghuna tiktok, bisa digunakan dengan baik. Berpikir pada kemampuan diri sendiri.",Positif
Arifin,5 Agustus 2021,Bagusya bagus,Positif
Amara Zahraa,22 Juli 2021,"apaan sih fyp tiktok akhir' ini bikin panas mulu siapa sih pembuat tiktok? apa maksud buat iri hati? aku juga mau uwuwu ok stop it, i'm very angry ya. /bl tiktok",Positif
Kanaya Jeniffer,17 Juli 2021,Aplikasi apaan ini jelek banget tapi bohong hayuk😂 aplikasi bagus banget😊,Positif
Ade Li,8 Agustus 2021,Ada. Aja masalah tiktok Terus aja perbaikan.. sudah susah masukin kode ref.. sekarang susah juga penarikan ke e-walet.. Niat bagi2 duit gsk sih.. payah sekali kamu tok.. unisntall aja lah..bangsat.,Positif
Rian Kinoy,16 Juli 2021,Saya sangat seneng banget bisa menemukan aplikasi ini karena dengan ada aplikasi ini saya bisa menghasilkan uang asli dari tiktok mantap sekali terta beneran terima kasih😙😙.,Positif
Hasbia Bahar,2 Agustus 2021,aplikasi jangan lihat lagi pokok bagus,Positif
Tika Nur,20 Juli 2021,Aplikasi bagus banget aku suka apa lo lihat lihat kan aku dah bilang aplikasi bagus,Positif
Yurike Maysa,19 Juli 2021,kenapa tiktok sekarang suka lambat,Negatif
Oedjang Sufyan,8 Agustus 2021,Menyesal saya nonton tiktok terkena berita bohong terus,Negatif
Muhammad Khoirul imam,11 Juli 2021,aplikasi pembohongan,Negatif
Nugroho Rasta Hartono,27 Juli 2021,lain kali tolong di filter video karena bak adegan kekerasan,Negatif
Duta Varrel Maulana,27 Juli 2021,tiktok jelek,Negatif
reyman zey,23 Juli 2021,"bagus sih tapi kok patah - patah sih. padahal penyimpanan gue masih aman, dan gue pakai wifi yang kuat banget. ''ini kenapa apa yang salah sama handphone gue""",Negatif
DLFA -DisLike For Angela,19 Juli 2021,bak sekali adegan yang tidak pantas untuk anak kecil,Negatif
Junsayaon,6 Agustus 2021,aplikasi tidak ada manfaat,Negatif
Was Kurii,6 Agustus 2021,aplikasi penipuan,Negatif
Mzul firmansyah,5 Agustus 2021,tiktok shop bohong tidak ada gratis ongkos kirim,Negatif
Shabrina Aqela,20 Juli 2021,Ini kenapa akun saya kok tidak bisa login lagi padahal saya tidak dikasih kebijakan privasi tapi kok gak bisa kata disuruh menyetujui tapi dimana cara tolong kalo gini saya repot jadi soal akun saya hilang yang shabrinaaqela86 terima kasih,Negatif
Zella Cesanuria,6 Agustus 2021,jangan download tiktok,Negatif
Siti Nurjamilah,27 Juli 2021,aplikasi tidak bagus,Negatif
yadi yadi,4 Agustus 2021,saya tidak puas dengan layanan aplikasi ini,Negatif
Nova Nova,18 Juli 2021,saya kecewa tiktok membuat kouta saya habis,Negatif
Marstarius Mars,2 Agustus 2021,aplikasi mengecewakan,Negatif
Hana Faiza,24 Juli 2021,saya tidak merekomendasikan aplikasi ini untuk anak - anak,Negatif
Arnita Hasna Wijayanti,28 Juli 2021,tiktok bukan aplikasi yang baik,Negatif
Ery dwi Novianti,5 Agustus 2021,bak video yang mengandung kebohongan,Negatif
im nob,25 Juli 2021,tiktok tidak keren,Negatif
NekoPiaa,8 Agustus 2021,FYP saya bak sekali video tidak bagus,Negatif
Hyunji 현지,13 Juli 2021,setelah menonton beberapa video dari tiktok saya tidak tertarik,Negatif
Gitalis dwi Roviqoh,4 Agustus 2021,Agak sering lemot pindah² bahasa jadi enggak ngerti,Negatif
SEWU Channel,28 Juli 2021,setelah update aplikasi tiktok sering lag,Negatif
YT_SaHrUL,7 Agustus 2021,tiktok koin pembohongan uang tiba - tiba hilang,Negatif
Martini Ny,1 Agustus 2021,tidak seru,Negatif
Aisyah Mangunroto,16 Juli 2021,"Mohon maaf ye tiktok bukan kenapa' tapi kenapa diakun tiktok saya enggak bisa salin komen, kan saya kalo mau salin link AU, link video youtube, kata' motivasi sama sastra enggak bisa. tolong ya tiktok ini akun saya yang bermasalah apa emang lu yang ilangin fitur",Negatif
Shfazzh,31 Juli 2021,"Tiktok tolonglah uang jangan hasil ngundang ngundang mulu, yang nonton"" video, teman saya gak ada yang bisa diajak kerja sama🙄🙏🏿 PLEASE",Negatif
Adryan Satria,12 Juli 2021,"Aplikasi gak jelas Padahal saya belum pernah download tiktok tapi tidak bisa memasukkan kode, sudah lama nungguin download percuma buang buang data",Negatif
Kalina Riyanti,7 Agustus 2021,"kenapa video saya tidak bisa live, sangat mengecewakan tiktok",Negatif
Tiyo Sandal,7 Agustus 2021,aplikasi jelek banget,Negatif
Rizki Rizki,27 Juli 2021,Aplikasi bagus banget apa lihat ke bawah sudah tau bagus😄,Positif
imuts 00,7 Agustus 2021,Aplikasi bagus tapi kenapa untuk event yang selalu nonton video tidak ada kalo bisa kasih event juga buat kami para penikmat video terimakasih semoga admin merespon,Positif
Rendi fathor,20 Juli 2021,"Akun saya tidak bisa mengundang teman . biasa diatas ada tulisan undang , tapi sekarang ganti tulisan tonton dapatkan 3.500 . terus gimna cara mau mengundang teman saya",Positif
Papa Istiqoma,19 Juli 2021,"sukses selalu tim tiktok. untuk akun saya ianskuy2 ada masalah, kenapa tidak ada untuk beralih ke akun pro..? mohon ditindak lanjuti ya.. terimakasih.. 🙏",Positif
Sabrina Ayu,3 Agustus 2021,tiktok sekarang kalau lihat video sebentar.. yang sebelum  koin berputar sekarang jadi tulisan bonus saja .. mohon bantuan .. sudah 2 hari begitu,Positif
Athaya Zafir,20 Juli 2021,Aku suka aplikasi ini tapi ada konten yang tidak pantas untuk anak kecil,Positif
silfira nisa,25 Juli 2021,"Bagus aplikasi and menghibur juga,tapi kenapa aku kasih bintang 4? aplikasi ini menghasilkan uang, tetapi uang yang kita hasil kan setiap menonton video halah perak saya mengumpulkan koin ini tetapi ha mendapatkan 10.000",Positif
bella,19 Juli 2021,aplikasi memang bagus tapi kadang kadang sering keluar sendiri.. fyp isi video yang ngawur ngawur padahal aku enggak nonton video yang terkait dengan itu haduh untuk kedepan tolong diperbaiki lagi ya,Positif
DURI'S FF,6 Agustus 2021,Ini aplikasi yang sangat bagus Bagus☺,Positif
Hilda Aprianti,28 Juli 2021,Aplikasi bagus kenapa lihat lihat kan sudah bilang bagus,Positif
Novia Anggraini,6 Agustus 2021,"Tiktok aplikasi anak muda jaman sekarang, hampir 99% hidupku ada di tiktok, serujugaa bisa dapat duit . ♥️",Positif
Ary Djulhaj,2 Agustus 2021,Aplikasi ini sangat bagus,Positif
Aswin Pri Prakosa,28 Juli 2021,Aplikasi bagus dan bermanfaat. Bisa cari video yang bisa menambah wawasan dan pengetahuan. Tapi miris bak yang menggunakan tiktok dengan tujuan negatif. Terimakasih.,Positif
Rhafly Wandadinata,2 Agustus 2021,"Assalamualaikum Min, Aku mau cerita Keluhan aku main tiktok, Baru Aja buka Tiktok, baru 5 menit, Signal bagus, eh mau buka Komentar, Gak bisa, mau scroll Ke bawah gak bisa, Kata Koneksi Jaringan Gagal, Padahal pakai Wifi Dan signal pun Gede, Tolong Dong Tiktok benerin BUG , Huh",Positif
Adel Chaselria,6 Agustus 2021,"Bagus kok,tapi kadang suka keluar sendiri or enggak dia suka load ulang diberanda, bagus tapi diperbaiki lagi update thanks.",Positif
Sena cangtip,20 Juli 2021,Tolong sediakan fitur history soal biasa tiba tiba kepencet refresh terus kalo mau cari vido yang tadi ke refresh itu sulit banget apalagi ngga inget username akun  mohon banget ni beneran ,Positif
YtCrash arsumb,4 Agustus 2021,Aplikasi bagus tapi untuk respon ketika mengajukan pertaan sangat lama di balas. dan tidak ada feedback sama sekali bagi konten kreator..,Positif
ADIT,14 Juli 2021,Aplikasi jelek banget tapi bohong,Positif
Pratama Nur,6 Agustus 2021,Bagus banget woy .?,Positif
pelangi hitam,12 Juli 2021,"misi menonton video selama 30 menit sudah 3hari hilang tidak muncul-muncul, padahal saya tidak pernah melalukan pelanggaran ataupun kecurangan apapun. tolong perbaiki lah min🙏",Positif
xiaoming fu xia,7 Agustus 2021,Bagus banget aplikasi yang satu ini Tapi mohon dikurangin ya video yang joget aurat bertebaran☺,Positif
Fani Austin,18 Juli 2021,Aplikasi sangat bagus ayo download biar gak penasaran jadi ...,Positif
Kode referal Neo ABLR82,29 Juli 2021,Sangat menyukai saya aplikasi bagus sekali terhibur jadi lihat video  ...,Positif
mutiara fatma,14 Juli 2021,Bagus si tapi lihat apa kalian sudah dibilang aplikasi ...,Positif
JDF STORE,17 Juli 2021,Aplikasi InI Sangat luar biasa,Positif
Wayang Semar,6 Agustus 2021,Berbagai video ada disini dari dalam dan luar negeri juga ada pantas sekali TikTok hebat<<<<...,Positif
Warung Pintar,4 Agustus 2021,"Tiktik emang oke👍 tapi sayang poin sekarang menurun, <<- ???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????",Positif
Arlan Arlan,14 Juli 2021,Saya suka sih tapi harus ada tombol dislike,Positif
Kode tiktok GBDPPMNGMPYTG,19 Juli 2021,Sangat suka banget aplikasi bagus buat video juga tentang terkini. dapat uang juga lagi dengan tonton terus video ...,Positif
Gregorius Waja,5 Agustus 2021,bak video tidak berbobot,Negatif
Uptrack Aptrack,24 Juli 2021,"Kok yang pu saya tidak ada target iya, yang ada cuman undangan doang, padahal saya ini sudah beli hp lagi, buat akun lagi",Negatif
Zamunzam Zamunzam,5 Agustus 2021,"Gue seneng ada Aplikasi tiktok, sekarang gak galau lagi, apalagi tiktok bagi2 uang tunai, nonton dapat uang....😁🙏",Positif
Anisa Sofia Triasrin,19 Juli 2021,"Ini aplikasi bagus banget, but sekarang error, gue kan ingin download tanpa watermark ya di.. ya itu lah kaya google masala gue tau itu salah, tapi ini ya error gitu pas ada baca terta ada masalah dari aplikasi tiktok ,, gimana bund gue sudah minta ijin ke admin buat SV tanpa watermark argghh😭",Positif
AGUS Harun setiawan,27 Juli 2021,aplikasi tidak bagus,Negatif
Rifky arief noer ramadhan,4 Agustus 2021,Aku kasih bintang 4 karena bisa membuat kouta habis cepet ditiktok ini ada video yang tidak baik ditonton orang orang...,Negatif
mehdi kuy,11 Juli 2021,"sudah 2 hari ini aku tak masuk kerja,sudah 2 hari ini anak ku tak masuk sekolah,nasib..... Nasib",Negatif
Boba Milky,28 Juli 2021,karena tiktok anak saya susah belajar,Negatif
Yusuf Daryanto,16 Juli 2021,aplikasi yang membuat tidak jadi produktif,Negatif
Zulmizul Tia,4 Agustus 2021,"sudah beberapa hari ini entah coint tiktok ku sudah enggak bisa jalan lagi, padahal aku cuman ngarepin coin tiktok, bukan ngundang temen",Negatif
Undangan snack ❹⓿❸❷❽❽⓿❻❺,5 Agustus 2021,tidak seru sudah tidak ada event koin lagi,Negatif
santi jias,29 Juli 2021,Di hari ke 4 kok tombol check in tiba tiba gak ada terus nonton video tahap 1 gak muter muter padahal dah nonton 40 menitan tolong dong bantuan,Negatif
MUHAMMAD FAIZ,29 Juli 2021,Hai pihak tiktok saya meminta maaf sebesar besar atas tindak kesalahan saya mohon kembalikan akun saya muhammadfaiz4921. yang diblokir maaf sebesar besar. terima kasih bak.,Positif
Rimbun Gultom,22 Juli 2021,kenapa video saya tidak FYP,Negatif
Via Fahrun,6 Agustus 2021,Kak aku mau beli barang ditiktok tapi pas diklik beli kok ada tulisan toko tidak tersedia pada akun anda .. itu gimana ya kak solusi,Positif
Rijef Varsi,15 Juli 2021,terkadang ada video yang tidak menghibur,Negatif
juna Yasa,23 Juli 2021,aplikasi ini bagus sekali,Positif
Syarah Fauziyah Azzahra,7 Agustus 2021,kenapa di tiktok bak sekali video pembohongan,Negatif
Dian Naela,2 Agustus 2021,Aplikasi sudah bagus tapi kenapa ya saya tidak bisa menambah akun tiktok saya?? Terimakasih..,Positif
Meliana Nur,25 Juli 2021,suka lemot video,Negatif
Referral Neo ABLR82,21 Juli 2021,Sangat terhibur banget sama aplikasi ini memang sangat bagus. selain menghibur dapat hadia uang lagi ...,Positif
Kempu Nabi Official,8 Agustus 2021,"Saya dari kelas 5 SD sudah main tiktok dan saya tidak pernah bosan ,dan saya ingin mempaikan terimakasih kepada pencipta tiktok",Positif
Mardi Alba,12 Juli 2021,Tolong kepada pihak tiktok saya melakukan penarikan tapi saldo gak berkurang tolong kepada pihak tiktok di proses secepat,Negatif
Nur Asiah,12 Juli 2021,"Sejauh ini bagus, tapi tapi kalau bisa tolong ditingkatkan lagi fitur² untuk mengedit ",Positif
Kode tiktok GA82RRFCAPYZK,19 Juli 2021,Sangat bagus sekali saya suka aplikasi sangat menghibur dan dapat uang pula ...,Positif
Aurelia Nadine,16 Juli 2021,setelah update tiktok membuat hp saya lag,Negatif
Dauus 86,18 Juli 2021,empat dulu lah.. nanti kalo sudah bak masuk duit.. gue tambahkan gue full in dah...ok bos,Positif
Wahyu wijaya,21 Juli 2021,"Sekarang makin susah,.. tiap mau nyelesain misi suka erorr, misi harian kadang tidak muncul, apalagi mengundang teman sering erorr.",Positif
Berry Afrian,5 Agustus 2021,"Saya mau bilang tiktok ini lucu...aplikasi bisa dan mengizinkan konten2 yang berbau provokasi, hujatan, berbau sara tapi tidak boleh orang berkomntar yang mirip sebagai balasan...kalo memang tidak mau orang berkomentar negatif lalu dibatasi... bahkan diblok lebih baik tidak usah mngizinkan konten 2 itu ditampilkan...",Positif
Burungmerpati Merpati,15 Juli 2021,Tolong perbaiki akun saya tiba2 tidak bisa mengikuti misi harian.. mohon bantuan dari aplikasi tiktok.,Positif
FREZAM FAHRI,19 Juli 2021,Maaf sebelum saya kasih bintang 4 kenapa pu saya untuk fitur nonton iklan dan nonton video 30 menit kok gak ada ya,Positif
Deningshy Moe,24 Juli 2021,Hallo admin tiktok tolong bantu saya agar saya bisa masuk ke akun tiktok saya karena saya lupa kata sandi dan email,Positif
Carmadi Anane,20 Juli 2021,Bagus aplikasi sih tapi dari hasil undang teman yang ke 14 hari kok tidak dapat memproses padahal saya na ke teman saya dia aktif menonton snack video Tolong dong jangan kecewakan,Positif
Alifzalikal Alif,13 Juli 2021,"tiktok ini gak jelas pertama aja,, bisa dapat poin, setelah seminggu lebih kita nonton,,, gak ada poin lagi sama sekali,",Negatif
Lois Sitorus,7 Agustus 2021,Aplikasi ini kenapa gak bisa di download saya akun ku hangus malah sudah bak followers.,Negatif
Cameliyah 990,15 Juli 2021,"Aku kasih bintang 3 aja lah dulu, semoga Allah SWT memperlancar kan Amin. Saya tambahkan ada 4 bintang ⭐",Positif
Negia Gitano,14 Juli 2021,Ini tiktok seru banget dah karena bisa lihat video orang yang bagus dan bisa ngonten lagi 😍😍😍😍😍 dan aku kasih bintang 4,Positif
Keys Kausarillah,6 Agustus 2021,"Aplikasi bagus bgt dan ngehibur tapii sayang sekarang rada lag jadi keganggu gitu, mohon maaf ya tolong di kasih update an kalo ada masalah biar kami semua yang memakai aplikasi ini juga man saat menggunakan aplikasi ini🙏🙏",Positif
Randy Syaputra,28 Juli 2021,kenapa orang lain gak bisa masukin kode refferal pu saya sih error mulu kenapa ini? Coba kasih tau dong,Positif
Siti syasikirani Ayu,25 Juli 2021,"Agak lelet dan efek kurang bagus masih agak lebih bagusan capcut kalau menurut aku ya gak tau kalau menurut kalian, aku gak bohong aku serius kadang macet² aplikasi",Positif
Kafka Yafi sakha,22 Juli 2021,"Terimakasih tiktok telah menyediakan dada dan paha secara gratis, tapi bro, ngetik ngmtd aja ga boleh komen lagi anjing",Positif
friskya putri yanti,5 Agustus 2021,"Bagus sih, cuman kenapa yah ga bisa report akun haters? Please mohon bantuan atau kalau bisa ada konten yang kebencian kayak gitu di takedown atau di nonaktifkan komentar. Karena kebakan anak kecil melihat dan itu tentu tidak baik. Mohon bantuan.",Positif
Fridolin Nusalama,13 Juli 2021,bagus sih aplikasi tapi tolong dong tiktok jangan blokir akun saya emang salah aku bikin video apa darimana kesalahan mohon diperbaiki lagi ya,Positif
Rafael Nadal,19 Juli 2021,"Halo semoga dijawab, saya mau ta kenapa ya di tiktok saya ketikan para pengguna tiktok yang lain gak bisa disalin ya????",Positif
daffa hafidz,3 Agustus 2021,"Dulu enak, fyp random. Sekarang knp fyp saya isi berita semua tolong😭😭😭 please 7 atau 8 video aja jangan berita yang lewat fyp bosen lama"" lihat tiktok berita badminton mulu🙂🙏🙏",Positif
Putri D.M,26 Juli 2021,"Bagus.............................................................. Btw yang enggak tau cara daftar aku kasih tau, 1.pencet tulisan saya yang ada di pinggir, 2.pencet daftar, 3.pencet nomor atau email, 4.lalu pilih tanggal,bulan,dan tahun kalian, 5.umur kalian minimal 18 tahun",Positif
Khaerul Ramdani,18 Juli 2021,"Mohon maaf.. buat para admin.saya minta solusi,,, Diriku kan pengguna baru.. Ketika diriku daftar akun.. memang ada tugas buat memasukan kode undangan.... Tetapi belom aku pake/atau memasukkan kode undangan... Nah setelah 4 hari kemudian diriku kan ingin memasukkan kode undangan",Positif
Her Woii,21 Juli 2021,Min event check-in ada in terus lah. sama menonton video jangan di batesin . Biar makin semangat lihat tiktok,Positif
putri agustin,4 Agustus 2021,"Saya tidak suka aplikasi ini...,''''''''''''''''''''''''''''''''-'-'-------------- kenapa lihat dibawah sudah tau bagus kenapa",Positif
Chill Donkey,5 Agustus 2021,Aplikasi jelek tapi bohong aplikasi bagus banget,Positif
wawa anza,14 Juli 2021,Bagus banget aplikasi '''',Positif
Sandi Sandi,13 Juli 2021,aplikasi dan video sangat bagus2 tapi kendala sama poin Sayakan pengguna baru dan baru bikin account tiktok dan sudah mengundang teman2 tapi poin masih tepap 0 tidak bertambah sama sekali,Positif
Nico Artadinata,6 Agustus 2021,"Saya kasih bintang 4 karena...... Kenapa hari ini tiktok saya jadi lag padahal jaringan saya juga bagus, saya juga sudah update. tapi kenapa tetap lag??? Mohon segera diperbaiki🙏",Positif
